Decade,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan_pct_change,Feb_pct_change,Mar_pct_change,Apr_pct_change,May_pct_change,Jun_pct_change,Jul_pct_change,Aug_pct_change,Sep_pct_change,Oct_pct_change,Nov_pct_change,Dec_pct_change
1880.0,41.02,45.82,49.79,59.90000000000001,69.13,75.45,79.05999999999999,76.71000000000001,71.30999999999999,61.0,50.33,43.559999999999995,,,,,,,,,,,,
1890.0,41.14,44.029999999999994,50.440000000000005,59.730000000000004,69.01,76.58000000000001,77.66999999999999,77.0,72.21000000000001,60.15,50.7,43.37,0.0029254022428082394,-0.039065910082933364,0.013054830287206443,-0.0028380634390652304,-0.0017358599739619729,0.01497680583167682,-0.01758158360738682,0.003780471907182781,0.012620950778292173,-0.013934426229508245,0.007351480230478824,-0.004361799816345213
1900.0,41.50000000000001,40.849999999999994,52.77,58.67,68.98,75.1,78.55999999999999,77.29,72.0,60.50999999999999,51.489999999999995,41.769999999999996,0.00875060768108904,-0.0722234839881899,0.04619349722442512,-0.017746526033818877,-0.0004347196058542835,-0.01932619482893727,0.011458735676580512,0.003766233766233862,-0.00290818446198593,0.005985037406483595,0.015581854043392296,-0.03689186073322581
1910.0,42.68,43.53,50.75000000000001,59.980000000000004,69.41999999999999,75.25,78.05,77.30999999999999,71.29,62.9,50.529999999999994,41.900000000000006,0.02843373493975876,0.06560587515299887,-0.038279325374265594,0.022328276802454416,0.006378660481298759,0.001997336884154599,-0.006491853360488631,0.0002587656876695821,-0.009861111111110987,0.0394976037018675,-0.018644396970285526,0.0031122815417765626
1920.0,41.61,45.29,52.330000000000005,60.260000000000005,67.54,76.47999999999999,79.00000000000001,77.47999999999999,73.78999999999999,61.92,51.00999999999999,44.89999999999999,-0.025070290534208062,0.04043188605559389,0.031133004926108265,0.004668222740913608,-0.02708153269950997,0.016345514950165896,0.012171684817424921,0.0021989393351442565,0.03506803198204489,-0.015580286168521362,0.009499307342172969,0.07159904534606176
1930.0,44.989999999999995,45.53000000000001,51.80999999999999,59.760000000000005,69.81000000000002,77.52,79.97,78.39000000000001,74.12,62.31,51.629999999999995,43.739999999999995,0.08123047344388357,0.005299183042614564,-0.009936938658513639,-0.008297378028543023,0.03360971276280744,0.013598326359832713,0.012278481012657938,0.01174496644295342,0.0044721506979266135,0.006298449612403001,0.01215447951382087,-0.025835189309576734
1940.0,42.3,44.41,52.089999999999996,61.85,69.94000000000001,78.21000000000001,79.07000000000001,77.95,72.37000000000002,63.129999999999995,52.14,43.85000000000001,-0.05979106468104023,-0.024599165385460364,0.005404362092260362,0.03497322623828647,0.0018621973929235924,0.008900928792569873,-0.011254220332624576,-0.005612960836841596,-0.023610361575822747,0.013160006419515202,0.009877977919814152,0.0025148605395521884
1950.0,43.690000000000005,45.92,50.38,61.13000000000001,70.1,76.79999999999998,79.58,78.80999999999999,72.41,61.84000000000001,50.3,43.269999999999996,0.03286052009456286,0.03400135104706159,-0.03282779804185054,-0.011641067097817204,0.0022876751501283987,-0.018028385116993006,0.0064499810294673665,0.011032713277741912,0.000552715213485877,-0.020434025027720293,-0.03528960490985811,-0.013226909920182717
1960.0,39.55,41.83,49.3,60.15,68.2,74.82,78.1,77.26,71.21999999999998,60.58,50.99999999999999,41.0,-0.094758525978485,-0.08906794425087117,-0.021437078205637228,-0.016031408473744624,-0.027104136947218138,-0.025781249999999867,-0.018597637597386307,-0.019667554878822324,-0.01643419417207581,-0.02037516170763276,0.01391650099403563,-0.05246128957707408
1970.0,39.66,41.87,51.65,59.85000000000001,67.03999999999999,73.93000000000002,77.86999999999999,77.62,72.39000000000001,60.48,51.0,43.78,0.0027812895069532217,0.0009562514941430234,0.04766734279918872,-0.004987531172069626,-0.01700879765395913,-0.011895215183105767,-0.0029449423815621767,0.004659590991457518,0.01642796967144111,-0.0016507098052163105,2.220446049250313e-16,0.06780487804878055
1980.0,38.760000000000005,43.739999999999995,51.29,59.870000000000005,68.19000000000001,76.45,79.73,78.21000000000001,71.67,61.019999999999996,52.040000000000006,42.809999999999995,-0.02269288956127058,0.04466204919990435,-0.006969990319457886,0.000334168755221409,0.017153937947494313,0.034086297849316605,0.023885963785797104,0.007601133728420528,-0.00994612515540838,0.008928571428571397,0.020392156862745203,-0.022156235724075102
1990.0,43.690000000000005,46.970000000000006,52.81,61.4,69.23999999999998,76.47999999999999,81.0,78.41999999999999,72.32000000000001,61.90999999999999,51.81,45.23,0.1271929824561404,0.07384545038866053,0.029635406511990814,0.025555369968264463,0.015398152221733019,0.0003924133420534215,0.015928759563526906,0.002685078634445448,0.009069345611832036,0.014585381842018963,-0.004419677171406677,0.056528848399906684
2000.0,41.61999999999999,44.209999999999994,52.39,59.93000000000001,67.61,75.60999999999999,77.81,78.41999999999999,71.51,60.67999999999999,51.56,42.99999999999999,-0.047379262989242665,-0.05876091121992788,-0.007953039197121758,-0.023941368078175818,-0.02354130560369705,-0.011375523012552402,-0.039382716049382704,0.0,-0.011200221238938046,-0.019867549668874163,-0.004825323296660855,-0.049303559584346734
2010.0,40.91,46.13,52.32000000000001,62.01000000000001,70.63,77.69,80.97,78.89000000000001,74.28999999999999,62.58,50.32,46.2,-0.017059106198942686,0.04342908844152937,-0.0013361328497804026,0.03470715835141003,0.04466794852832412,0.02750958867874642,0.04061174656213851,0.005993369038510998,0.03887568172283573,0.031311799604482715,-0.024049650892164487,0.07441860465116301
2020.0,43.43333333333333,46.96666666666667,57.0,61.06666666666666,68.53333333333335,77.33333333333333,81.39999999999999,79.6,72.13333333333334,63.6,53.70000000000001,46.5,0.06168011081235236,0.018137148637907385,0.08944954128440341,-0.015212600118260755,-0.029685214026145434,-0.004590895439138487,0.005310608867481692,0.008999873241221756,-0.029030376452640394,0.016299137104506256,0.06717011128775852,0.006493506493506329
